content,label
登记纳税人一般纳税人期间发生销售购进业务登记发生销售折让中止退回处理发生销售折让中止退回情形需要开具发票蓝字发票记载内容开具发票开票有误需要重新开具蓝字发票记载内容开具发票重新开具正确蓝字发票登记纳税人发生上述业务一般计税方法调整一般纳税人期间最后一期销项税额进项税额应纳税额纳税人业务实际情况一般纳税人期间最后一期销项税额进项税额应纳税额进行调整原来申报结果相比可能产生少缴税款可能产生多缴税款需要重新填报一般纳税人申报表并入销售折让中止退回当期应纳税额处理小规模纳税人申报表填列,综合
公司1000公司4600合并免征公司合并5600申报公司申报实施条例规定中国境内两处两处取得工资薪金所得自行主管税务机关申报两处合并超过免征自行主管税务机关申报时需补交实务税务机关同意两家工资合并一家申报要求为准操作不太符合规范,个人所得税
开发新技术产品新工艺发生研究开发费用适用企业所得税优惠政策企业所得税法实施条例国务院令512规定企业所得税法第三十条项所称研究开发费用加计扣除企业开发新技术产品新工艺发生研究开发费用形成无形资产计入当期损益法规据实扣除基础研究开发费用50%加计扣除形成无形资产无形资产成本150%摊销国务院令2007512企业所得税法实施条例,企业所得税
公司破产清算法院拍卖土地相关涉税问题法院拍卖我司获取土地是否拿到增值税专用发票是否抵扣是否需要缴纳契税印花税法院拍卖获取公司土地公司土地增值公司因已破产是否需要缴纳增值税土地增值税所得税印花税问题流程公司进入破产清算阶段可能无法正常开具发票并未注销土地属于销售行为公司提供资料税务大厅申请开发票认为理论上贵司法院土地取得增值税专用发票实务情况较为复杂最终执行情况为准贵司取得专票购进不动产处理用于生产经营活动正常抵扣进项贵司土地过户需要交纳契税印花税问题土地法院强制拍卖纳税主体并未改变转让土地涉及增值税土增所得税印花税纳税义务人企业拍卖形式税务比较特殊实务经常约定拍得方承担部分税金需要自行协商建议税金计入土地转让价中,综合
补贴报销征税印发征收若干问题规定通知国税发199489第二条第二款规定下列属于工资薪金性质补贴津贴属于纳税人工资薪金所得项目收入征税独生子女补贴差旅费津贴误餐补助差旅费津贴征收国税发199489印发征收若干问题规定通知第二条,个人所得税
税务机关提出预约定价安排正式申请完善预约定价安排管理事项公告公告201664第八条规定分析评估阶段税务机关企业预约定价安排申请草案进行讨论税务机关进行功能风险实地访谈税务机关认为预约定价安排申请草案符合独立交易原则企业应当税务机关协商进行调整税务机关认为预约定价安排申请草案符合独立交易原则主管税务机关企业送达同意提交正式申请税务事项通知书企业收到通知税务机关提交预约定价安排正式申请书附件附送预约定价安排正式申请报告企业申请单预约定价安排应当主管税务机关提交上述资料企业申请双边多边预约定价安排应当主管税务机关提交上述资料规定提交启动特别纳税调整相互协商程序申请公告201664完善预约定价安排管理事项公告,企业所得税
准备同期资料情况需要准备特殊事项文档具体内容完善关联申报同期资料管理事项公告公告201642第十五条规定特殊事项文档包括成本分摊协议特殊事项文档资本弱化特殊事项文档企业签订执行成本分摊协议应当准备成本分摊协议特殊事项文档企业关联债资比例超过标准比例需要说明符合独立交易原则应当准备资本弱化特殊事项文档公告201642完善关联申报同期资料管理事项公告,企业所得税
单位属于社会团体会计准则民间非盈利组织会计制度收入来源会员企业培训费政府委托项目会员缴纳会费会费发票财政厅领取会费专用票据免税上级主管单位民政厅现在培训费政府委托项目缴纳增值税附加税国税局还给单位核定企业所得税单位是否需要交纳增值税企业所得税营业税改征增值税试点实施办法财税201636第一条规定境内以下境内销售服务无形资产不动产以下应税行为单位增值税纳税人应当办法缴纳增值税缴纳营业税单位企业行政单位事业单位军事单位社会团体及其单位该条规定单位组织组织培训政府委托项目取得收入应该缴纳增值税企业所得税法实施条例512第八十五条规定企业所得税法项所称符合条件非营利组织收入包括非营利组织从事营利性活动取得收入国务院财政税务主管部门另有规定财政部非营利组织企业所得税免税收入问题通知财税2009122第一条规定非营利组织下列收入免税收入接受单位捐赠收入企业所得税法第七条规定财政拨款以外政府补助收入包括政府购买服务取得收入省级民政财政部门规定收取会费征税收入免税收入孳生银行存款利息收入财政部规定收入根据上述规定社会团体组织培训政府委托项目取得收入属于提供营利性活动取得收入属于企业所得税免税收入按规定缴纳企业所得税,综合
合伙平台持股平台比较很少见到有限合伙企业提供采购销售服务关联方一般企业选择有限合伙企业供应商有限合伙企业特点比较担当企业选择有限合伙企业供应商有限合伙企业特点有限合伙一名普通合伙人一名有限合伙人组成合伙普通合伙人合伙企业债务承担无限连带责任有限合伙人认缴出资额为限合伙企业债务承担责任有限合伙人参与决策经营投资收益企业债务只以出资部分承担责任一种有限责任出资人避免风险合伙企业分散合伙人经营控制权情况获得资本以下优势控制权集中高效决策避免双重征税管理成本低资本运作,综合
总公司盈利独立核算分公司亏损请问盈余公积提取盈余公积公司税后利润提取公司亏损需要提取盈余公积所说公司符合公司法规定具有独立法人主体机构年末总公司需要税后利润提取盈余公积独立核算分公司具有独立法人资格需要提取盈余公积,综合
生产泡沫一般纳税人查账征收计算缴纳税率优惠政策修改决定主席令第四十八第六条第一款第二项规定个体工商户生产经营所得纳税年度收入总额减除成本费用损失余额纳税所得额第三条第二款规定个体工商户生产经营所得企事业单位承包经营承租经营所得适用百分之五超额累进税个体工商户生产经营所得上述文件规定计算缴纳具体描述了解税种优惠政策营业税主席令201148第六条第一款第二项,个人所得税
信息化共享发票管控疑难涉税风险差额征税差额开票业务需要发票备注中列明差额征税内容规定出处国税文件差额征税开票业务具体参看文件全面推开营业税改征增值税试点税收征收管理事项公告公告201623增值税发票开具税务总局编写商品服务税收分类编码试行以下简称编码附件系统增加编码相关功能2016日起纳入系统推行范围试点纳税人新办增值税纳税人使用系统选择相应编码开具增值税发票北京市上海市江苏省广东省使用编码纳税人应于日前完成开票软件升级日前使用系统纳税人应于日前完成开票软件升级现行政策规定适用差额征税办法缴纳增值税不得全额开具增值税发票财政部税务总局另有规定纳税人自行开具税务机关代开增值税发票通过系统差额征税开票功能录入含税销售额含税评估扣除额系统自动计算税额不含税金额备注栏自动打印差额征税字样发票开具不应应税行为混开提供建筑服务纳税人自行开具税务机关代开增值税发票发票备注栏注明建筑服务发生地名称项目名称销售不动产纳税人自行开具税务机关代开增值税发票发票货物应税劳务服务名称填写不动产名称房屋产权证书号码房屋产权证书可不填写单位填写面积单位备注栏注明不动产详细地址出租不动产纳税人自行开具税务机关代开增值税发票备注栏注明不动产详细地址出租住房适用优惠政策减按1.5%征收纳税人自行开具税务机关代开增值税发票通过系统征收率减按1.5%征收开票功能录入含税销售额系统自动计算税额不含税金额发票开具不应应税行为混开税务机关代开增值税发票销售方开户行账号填写税收完税凭证轨及号码系统税票号码免税代开增值税普通发票可不填写国税机关跨县提供不动产经营租赁服务建筑服务小规模纳税人包括代开增值税发票发票备注栏自动打印YD字样,增值税
符合认定登记一般纳税人进项税额抵扣规定取得增值税扣税凭证现行规定无法办理认证稽核处理纳税人认定登记一般纳税人进项税额抵扣问题公告公告201559规定上述增值税扣税凭证现行规定无法办理认证稽核以下规定处理购买方纳税人取得增值税专用发票推行增值税发票系统升级问题公告公告201473规定程序销售方纳税人开具增值税专用发票重新开具蓝字增值税专用发票购买方纳税人公告201473规定填开开具增值税专用发票信息开具货物运输业增值税专用发票信息选择所购货物劳务服务属于增值税扣税项目范围所购服务属于增值税扣税项目范围纳税人取得海关进口增值税专用缴款逾期增值税扣税凭证抵扣问题公告公告201150规定程序稽核相符抵扣进项税额公告发布之日起施行此前处理事项公告规定执行公告201559纳税人认定登记一般纳税人进项税额抵扣问题公告,增值税
支付增值税税控系统专用设备费用技术维护费增值税应纳税额全额抵减填写增值税纳税申报表财政部增值税税控系统专用设备技术维护费用抵减增值税税额政策通知财税201215规定纳税人填写纳税申报表增值税应纳税额全额抵减增值税税控系统专用设备费用技术维护费以下要求填报增值税一般纳税人抵减金额填入增值税纳税申报表适用增值税一般纳税人23应纳税额减征本期减征小于等于19应纳税额21简易征收办法计算应纳税额本期减征实际填写本期减征大于19应纳税额21简易征收办法计算应纳税额本期1921填写本期减征不足抵减部分结转下期继续抵减小规模纳税人抵减金额填入增值税纳税申报表适用小规模纳税人11本期应纳税额减征本期减征小于等于10本期应纳税额本期减征实际填写本期减征大于10本期应纳税额本期10填写本期减征不足抵减部分结转下期继续抵减财税201215财政部增值税税控系统专用设备技术维护费用抵减增值税税额政策通知,增值税
需要开具发票小额劳务费规定金额以下增值税暂行条例实施细则65规定增值税起征点适用范围限于增值税起征点幅度规定销售货物销售额5000销售应税劳务销售额5000纳税每次销售额300500前款销售额本细则第三十条第一款小规模纳税人销售额自治区直辖市财政厅规定幅度实际情况确定地区适用起征点并报财政部备案从事小额零星经营业务支出税务机关代开发票收款凭证内部凭证税前扣除凭证收款凭证载明收款单位名称姓名身份证号支出项目收款金额相关信息,增值税
轮船抵偿债务需要交税资产抵债需要交税资产抵债分解销售资产偿还债务两个业务视同销售资产环节需要缴纳增值税附加企业所得税,综合
公司员工购买意外保险收到增值税专用发票是否进项抵扣营业税改征增值税试点实施办法财税201636第一项规定用于集体福利个人消费进项抵扣贵司员工购买保险取得增值税专用发票抵扣进项相关规定营业税改征增值税试点实施办法财税201636下列项目进项税额不得销项税额抵扣用于简易计税方法计税项目免征增值税项目集体福利个人消费购进货物加工修理修配劳务服务无形资产不动产涉及固定资产无形资产不动产仅指专用上述项目固定资产无形资产包括权益无形资产不动产纳税人交际应酬消费属于个人消费,增值税
企业认定高新技术企业符合集成电路生产企业定期减半征收企业所得税优惠条件适用税率进一步明确企业所得税过渡期优惠政策执行口径问题通知国税函2010157规定居民企业选择适用税率减半征税具体界定问题居民企业认定高新技术企业符合软件生产企业集成电路生产企业定期减半征收企业所得税优惠条件居民企业所得税适用税率选择适用高新技术企业15%税率选择25%法定税率减半征税不能享受15%税率减半征税国税函2010157进一步明确企业所得税过渡期优惠政策执行口径问题通知,企业所得税
客户逾期消费纳税人取得运输逾期票证收入缴纳增值税客户办理退票收取退票费手续费缴纳增值税财政部税务总局租入固定资产进项税额抵扣增值税政策通知财税2017902018日起纳税人售票客户逾期消费取得运输逾期票证收入交通运输服务缴纳增值税纳税人客户办理退票客户收取退票费手续费收入现代服务缴纳增值税,增值税
增值税纳税申报表附列资料表二相关项目填列调整增值税纳税申报事项公告公告201332附件增值税纳税申报表一般纳税人适用及其附列资料填写说明规定增值税纳税申报表附列资料本期进项税额明细填写说明税款所属时间纳税人名称填写主表12栏一申报抵扣进项税额反映纳税人税法规定符合抵扣条件本期申报抵扣进项税额认证相符税控增值税专用发票反映纳税人取得认证相符本期申报抵扣防伪税控增值税专用发票货物运输业增值税专用发票税控机动车销售统一发票情况该栏等于本期认证相符本期申报抵扣前期认证相符本期申报抵扣数据本期认证相符本期申报抵扣反映本期认证相符本期申报抵扣防伪税控增值税专用发票货物运输业增值税专用发票税控机动车销售统一发票情况本栏本栏填写本期认证相符本期申报抵扣部分前期认证相符本期申报抵扣反映前期认证相符本期申报抵扣防伪税控增值税专用发票货物运输业增值税专用发票税控机动车销售统一发票情况辅导纳税人税务机关告知稽核结果通知书明细清单注明稽核相符税控增值税专用发票填写本栏本栏填写前期认证相符本期申报抵扣部分扣税凭证反映本期申报抵扣税控增值税专用发票之外扣税凭证情况具体包括海关进口增值税专用缴款农产品收购发票销售发票农产品核定扣除进项税额代扣代缴税收缴款凭证运输费用结算单据该栏等于海关进口增值税专用缴款反映本期申报抵扣海关进口增值税专用缴款情况按规定执行海关进口增值税专用缴款书先抵扣纳税人税务机关告知稽核结果通知书明细清单注明稽核相符海关进口增值税专用缴款填写本栏农产品收购发票销售发票反映本期申报抵扣农产品收购发票农产品销售普通发票情况执行农产品增值税进项税额核定扣除办法填写当期允许抵扣农产品增值税进项税额填写份数金额代扣代缴税收缴款凭证填写本期按规定准予抵扣税收缴款凭证注明增值税运输费用结算单据反映按规定本期申报抵扣交通运输费用结算单据情况11外贸企业进项税额抵扣证明填写本期申报抵扣税务机关出口退税部门开具出口货物内销证明列明允许抵扣进项税额1012栏当期申报抵扣进项税额合计反映本期申报抵扣进项税额合计按表中所列公式计算填写1323栏二进项税额转出额各栏反映纳税人已经抵扣按规定本期转出进项税额明细情况13本期进项税额转出额反映已经抵扣按规定本期转出进项税额合计按表中所列公式计算填写14免税项目反映用于免征增值税项目按规定本期转出进项税额15栏非应税项目集体福利个人消费反映用于增值税应税项目集体福利个人消费按规定本期转出进项税额16非正常损失反映纳税人发生非正常损失按规定本期转出进项税额17简易计税方法征税项目反映用于简易计税方法征税项目按规定本期转出进项税额营业税改征增值税纳税人应税服务按规定汇总计算缴纳增值税分支机构当期机构汇总进项税额填入本栏18免抵退办法不得抵扣进项税额反映退税办法规定征税税率退税税率存在税率本期应转出进项税额19纳税检查调减进项税额反映税务财政审计部门检查调减进项税额20栏红字专用发票通知单注明进项税额填写主管税务机关开具开具增值税专用发票通知单开具货物运输业增值税专用发票通知单注明本期应转出进项税额21上期留抵税额抵减欠税填写本期税务机关同意使用上期留抵税额抵减欠税数额1022上期留抵税额退税填写本期税务机关批准上期留抵税额税额1123进项税额转出情形反映上述进项税额情形本期转出进项税额2434栏三抵扣进项税额各栏反映纳税人已经取得税法规定符合抵扣条件不予本期申报抵扣进项税额情况税法规定允许抵扣进项税额情况2428栏均包括防伪税控增值税专用发票货物运输业增值税专用发票税控机动车销售统一发票情况25期初认证相符申报抵扣反映前期认证相符税法规定不予抵扣允许抵扣结存本期税控增值税专用发票情况辅导纳税人填写认证相符收到稽核结果税控增值税专用发票期初情况26本期认证相符本期申报抵扣反映本期认证相符税法规定不予抵扣允许抵扣申报抵扣税控增值税专用发票情况辅导纳税人填写本期认证相符收到稽核结果税控增值税专用发票情况27期末认证相符申报抵扣反映本期期末税法规定不予抵扣允许抵扣认证相符税控增值税专用发票情况辅导纳税人填写本期期末认证相符收到稽核结果税控增值税专用发票期末情况28税法规定允许抵扣反映本期期末认证相符申报抵扣税控增值税专用发票税法规定允许抵扣税控增值税专用发票情况29扣税凭证反映本期期末申报抵扣税控增值税专用发票之外扣税凭证情况具体包括海关进口增值税专用缴款农产品收购发票销售发票代扣代缴税收缴款凭证运输费用结算单据该栏等于303330海关进口增值税专用缴款反映取得本期期末申报抵扣海关进口增值税专用缴款情况包括纳税人收到稽核结果海关进口增值税专用缴款情况31农产品收购发票销售发票反映取得本期期末申报抵扣农产品收购发票农产品销售普通发票情况32代扣代缴税收缴款凭证反映取得本期期末申报抵扣代扣代缴税收缴款凭证情况1033运输费用结算单据反映取得本期期末申报抵扣运输费用结算单据情况3536栏四各栏35本期认证相符税控增值税专用发票反映本期认证相符防伪税控增值税专用发票货物运输业增值税专用发票税控机动车销售统一发票情况36代扣代缴税额填写纳税人增值税暂行条例第十八条扣缴应税劳务增值税营业税改征增值税政策规定扣缴应税服务增值税,增值税
在职职工工资总额申报全年应付职工工资上年在职职工工资总额12月份发工资累计金额,个人所得税
公司银行支付银行贷款利息是否取得增值税专用发票进项是否抵扣营业税改征增值税试点实施办法财税201636规定企业购进贷款服务进项不能抵扣贵司银行支付借款利息属于购进贷款服务不能抵扣进项建议直接取得增值税普通发票,增值税
成立一个新能源汽车软件开发方向外商独资企业请问目前中国地区注册税收优惠搜集信息了解目前税收优惠政策颁发机关只能中央部门享受地方优惠政策应该西藏地区税收返还财政补贴范畴描述公司新能源汽车软件开发建议您对应业务开展关注高新技术企业优惠政策享受15%企业所得税税率研发业务申请研发费用加计扣除Ps关注一下中西部地区外商投资优势产业目录符合考虑注册公司税收优惠政策公司运营一方面考虑因素成立公司税收优惠之外还应考虑市场交通技术人才综合因素建议权衡做出决策关注一下新能源汽车相关产业园相关政策中西部地区外商投资优势产业目录2017修订httpwwwfdigovcn23html实施高新技术企业所得税优惠政策问题公告公告201724httpwwwgovcnhtml研发费用税前加计扣除归集范围问题公告公告201740httpwwwgovcnhtml,综合
